Brand,Price,Transmission,FuelType,Mileage,release_year
iX xDrive50 M Sport,"69,500",Automatic,ELECTRIC,,2023
iX1 xDrive30 M Sport,"34,000",Automatic,ELECTRIC,"8,000 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"10,446 miles",2023
i5 eDrive40 M Sport Saloon,"39,886",Automatic,ELECTRIC,"9,512 miles",2023
i7 xDrive60 M Sport,"81,547",Automatic,ELECTRIC,"3,944 miles",2023
iX3 M Sport Pro,"38,000",Automatic,ELECTRIC,,2022
i5 M60 Saloon,"58,250",Automatic,ELECTRIC,"20,886 miles",2023
i7 xDrive60 M Sport,"77,392",Automatic,ELECTRIC,"1,802 miles",2023
i7 xDrive60 M Sport,"100,000",Automatic,ELECTRIC,"6,593 miles",2024
i7 xDrive60 M Sport,"69,900",Automatic,ELECTRIC,"7,240 miles",2023
i7 eDrive50 M Sport,"64,255",Automatic,ELECTRIC,"3,079 miles",2023
i7 eDrive50 M Sport,"74,850",Automatic,ELECTRIC,"3,715 miles",2024
i5 eDrive40 M Sport Pro Saloon,"50,000",Automatic,ELECTRIC,,2023
i7 xDrive60 Excellence,"64,000",Automatic,ELECTRIC,"9,758 miles",2022
i5 eDrive40 M Sport Pro Saloon,"71,000",Automatic,ELECTRIC,"5,494 miles",2024
i7 xDrive60 M Sport,"73,989",Automatic,ELECTRIC,"5,235 miles",2023
iX xDrive50 M Sport,"59,888",Automatic,ELECTRIC,"5,209 miles",2024
i4 M50,"49,000",Automatic,ELECTRIC,"14,064 miles",2023
iX1 eDrive20 Sport,"30,000",Automatic,ELECTRIC,"10,466 miles",2024
iX1 xDrive30 M Sport,"32,490",Automatic,ELECTRIC,"6,199 miles",2023
i5 eDrive40 M Sport Saloon,"43,880",Automatic,ELECTRIC,"3,766 miles",2023
iX1 eDrive20 M Sport,"32,988",Automatic,ELECTRIC,"6,941 miles",2024
i5 M60 Saloon,"82,000",Automatic,ELECTRIC,"2,119 miles",2024
i5 M60 Saloon,"74,259",Automatic,ELECTRIC,"6,500 miles",2024
iX1 xDrive30 M Sport,"35,000",Automatic,ELECTRIC,"11,515 miles",2024
iX1 xDrive30 xLine,"31,450",Automatic,ELECTRIC,"1,930 miles",2023
iX xDrive50 M Sport,"69,999",Automatic,ELECTRIC,"6,258 miles",2023
i5 eDrive40 M Sport Pro Saloon,"41,500",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Saloon,"39,900",Automatic,ELECTRIC,"8,140 miles",2024
i5 eDrive40 M Sport Pro Saloon,"45,695",Automatic,ELECTRIC,"8,961 miles",2023
i5 M60 Saloon,"63,495",Automatic,ELECTRIC,"15,000 miles",2023
i4 eDrive40 M Sport,"41,990",Automatic,ELECTRIC,"14,154 miles",2023
i5 eDrive40 M Sport Pro Saloon,"43,995",Automatic,ELECTRIC,"10,659 miles",2023
iX1 xDrive30 M Sport,"31,000",Automatic,ELECTRIC,"21,423 miles",2023
i5 eDrive40 M Sport Pro Saloon,"45,500",Automatic,ELECTRIC,"10,485 miles",2023
iX2 xDrive30 M Sport,"42,000",Automatic,ELECTRIC,"8,010 miles",2024
i4 M50,"50,000",Automatic,ELECTRIC,,2024
iX xDrive50 M Sport,"65,500",Automatic,ELECTRIC,"24,889 miles",2024
iX2 xDrive30 M Sport,"35,045",Automatic,ELECTRIC,"18,733 miles",2024
i7 xDrive60 M Sport Pro,"90,000",Automatic,ELECTRIC,"18,058 miles",2024
iX1 eDrive20 M Sport,"37,000",Automatic,ELECTRIC,"11,252 miles",2024
iX1 xDrive30 xLine,"31,000",Automatic,ELECTRIC,"14,000 miles",2023
i7 xDrive60 M Sport,"87,000",Automatic,ELECTRIC,"9,584 miles",2024
i5 eDrive40 M Sport Pro Saloon,"52,000",Automatic,ELECTRIC,,2023
iX xDrive50 M Sport,"55,000",Automatic,ELECTRIC,"22,247 miles",2023
i7 xDrive60 Excellence Pro,"74,000",Automatic,ELECTRIC,"6,392 miles",2023
iX xDrive50 M Sport,"75,000",Automatic,ELECTRIC,"11,678 miles",2024
iX1 eDrive20 M Sport,"35,990",Automatic,ELECTRIC,"6,650 miles",2023
i5 M60 Saloon,"59,500",Automatic,ELECTRIC,"9,664 miles",2024
iX2 xDrive30 M Sport,"45,000",Automatic,ELECTRIC,"13,197 miles",2024
i5 eDrive40 M Sport Pro Saloon,"41,444",Automatic,ELECTRIC,"17,652 miles",2023
iX2 xDrive30 M Sport,"39,500",Automatic,ELECTRIC,"18,148 miles",2024
i5 eDrive40 M Sport Pro Saloon,"48,000",Automatic,ELECTRIC,"18,260 miles",2023
i5 eDrive40 M Sport Pro Saloon,"43,000",Automatic,ELECTRIC,"14,746 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"3,162 miles",2023
i5 M60 Saloon,"72,000",Automatic,ELECTRIC,"7,057 miles",2024
iX1 xDrive30 M Sport,"33,985",Automatic,ELECTRIC,"3,894 miles",2023
iX1 xDrive30 M Sport,"35,000",Automatic,ELECTRIC,"3,500 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"5,557 miles",2023
iX xDrive50 M Sport,"67,500",Automatic,ELECTRIC,"10,844 miles",2024
iX xDrive50 M Sport,"64,990",Automatic,ELECTRIC,"8,000 miles",2024
i5 eDrive40 M Sport Saloon,"48,000",Automatic,ELECTRIC,"5,000 miles",2024
i5 eDrive40 M Sport Saloon,"44,000",Automatic,ELECTRIC,"10,999 miles",2023
iX1 xDrive30 M Sport,"33,785",Automatic,ELECTRIC,"4,904 miles",2023
i5 eDrive40 M Sport Pro Saloon,"47,000",Automatic,ELECTRIC,"8,000 miles",2023
iX xDrive40 M Sport,"48,990",Automatic,ELECTRIC,"1,655 miles",2023
iX1 eDrive20 M Sport,"32,990",Automatic,ELECTRIC,,2023
iX2 xDrive30 M Sport,"45,990",Automatic,ELECTRIC,,2024
i4 eDrive40 M Sport,"36,500",Automatic,ELECTRIC,"6,442 miles",2023
i5 eDrive40 M Sport Saloon,"45,890",Automatic,ELECTRIC,"3,283 miles",2023
i5 eDrive40 M Sport Pro Saloon,"44,000",Automatic,ELECTRIC,"19,050 miles",2023
i5 M60 Saloon,"57,900",Automatic,ELECTRIC,"9,556 miles",2023
iX2 xDrive30 M Sport,"39,000",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"46,299",Automatic,ELECTRIC,"2,818 miles",2024
i5 M60 Saloon,"58,999",Automatic,ELECTRIC,"15,095 miles",2024
iX2 xDrive30 M Sport,"40,000",Automatic,ELECTRIC,"10,635 miles",2024
i4 eDrive35 Sport,"33,750",Automatic,ELECTRIC,"12,775 miles",2024
i5 M60 Saloon,"54,000",Automatic,ELECTRIC,"21,617 miles",2023
iX xDrive50 M Sport,"58,000",Automatic,ELECTRIC,"11,138 miles",2024
iX1 xDrive30 M Sport,"32,990",Automatic,ELECTRIC,"8,745 miles",2023
i5 eDrive40 M Sport Pro Saloon,"48,890",Automatic,ELECTRIC,"5,801 miles",2023
iX2 xDrive30 M Sport,"52,500",Automatic,ELECTRIC,"1,865 miles",2024
iX2 xDrive30 M Sport,"42,500",Automatic,ELECTRIC,"13,721 miles",2024
i5 eDrive40 M Sport Saloon,"52,699",Automatic,ELECTRIC,,2024
iX1 eDrive20 M Sport,"35,000",Automatic,ELECTRIC,,2024
iX3 M Sport Pro,"48,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Saloon,"48,990",Automatic,ELECTRIC,"3,022 miles",2024
i5 M60 Saloon,"69,490",Automatic,ELECTRIC,"2,500 miles",2024
iX2 xDrive30 M Sport,"41,335",Automatic,ELECTRIC,"6,822 miles",2024
i4 eDrive35 Sport,"36,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Touring,"56,990",Automatic,ELECTRIC,"6,300 miles",2024
i5 eDrive40 M Sport Pro Saloon,"47,895",Automatic,ELECTRIC,"2,729 miles",2023
i4 eDrive35 Sport,"39,000",Automatic,ELECTRIC,,2024
i4 M50,"50,799",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"42,000",Automatic,ELECTRIC,"14,052 miles",2024
iX1 xDrive30 M Sport,"49,950",Automatic,ELECTRIC,"7,018 miles",2024
iX xDrive40 M Sport,"51,000",Automatic,ELECTRIC,,2024
iX1 eDrive20 Sport,"32,902",Automatic,ELECTRIC,"5,067 miles",2024
i4 eDrive35 M Sport,"50,000",Automatic,ELECTRIC,"9,138 miles",2024
iX1 eDrive20 M Sport,"35,000",Automatic,ELECTRIC,"8,001 miles",2023
i5 M60 Saloon,"62,815",Automatic,ELECTRIC,"1,593 miles",2023
i5 eDrive40 M Sport Saloon,"40,902",Automatic,ELECTRIC,"6,436 miles",2023
iX1 eDrive20 M Sport,"34,498",Automatic,ELECTRIC,"2,300 miles",2023
iX2 xDrive30 M Sport,"42,000",Automatic,ELECTRIC,"10,000 miles",2024
i5 eDrive40 M Sport Pro Touring,"54,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Pro Touring,"50,995",Automatic,ELECTRIC,"11,938 miles",2024
iX2 xDrive30 M Sport,"44,000",Automatic,ELECTRIC,"6,001 miles",2024
iX1 eDrive20 M Sport,"33,750",Automatic,ELECTRIC,"5,691 miles",2024
iX xDrive40 M Sport,"55,000",Automatic,ELECTRIC,"13,001 miles",2024
iX3 M Sport,"43,000",Automatic,ELECTRIC,"5,001 miles",2024
i5 eDrive40 M Sport Pro Touring,"59,000",Automatic,ELECTRIC,,2024
iX xDrive40 M Sport,"51,000",Automatic,ELECTRIC,"12,200 miles",2024
i7 eDrive50 M Sport,"70,000",Automatic,ELECTRIC,"9,000 miles",2024
i4 eDrive35 Sport,"33,990",Automatic,ELECTRIC,"6,610 miles",2024
i5 eDrive40 M Sport Pro Touring,"53,590",Automatic,ELECTRIC,"12,000 miles",2024
i5 eDrive40 M Sport Pro Saloon,"55,000",Automatic,ELECTRIC,"4,917 miles",2024
i5 M60 xDrive Touring,"89,750",Automatic,ELECTRIC,"16,269 miles",2024
iX xDrive40 M Sport,"58,000",Automatic,ELECTRIC,"6,383 miles",2024
iX2 xDrive30 M Sport,"40,000",Automatic,ELECTRIC,"6,414 miles",2024
iX2 xDrive30 M Sport,"40,000",Automatic,ELECTRIC,"7,913 miles",2024
iX3 M Sport Pro,"48,000",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"45,000",Automatic,ELECTRIC,"12,232 miles",2024
i5 eDrive40 M Sport Pro Saloon,"48,842",Automatic,ELECTRIC,"12,505 miles",2024
iX2 xDrive30 M Sport,"40,802",Automatic,ELECTRIC,"2,200 miles",2024
iX3 M Sport Pro,"45,950",Automatic,ELECTRIC,"8,421 miles",2024
i5 eDrive40 M Sport Saloon,"42,995",Automatic,ELECTRIC,"8,485 miles",2024
iX2 eDrive20 M Sport,"35,816",Automatic,ELECTRIC,"3,000 miles",2024
i5 eDrive40 M Sport Touring,"52,950",Automatic,ELECTRIC,"5,825 miles",2024
i5 eDrive40 M Sport Touring,"57,990",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"49,990",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Touring,"55,500",Automatic,ELECTRIC,,2024
iX xDrive40 M Sport,"48,000",Automatic,ELECTRIC,,2023
iX M60,"59,000",Automatic,ELECTRIC,"28,202 miles",2022
iX1 eDrive20 M Sport,"36,898",Automatic,ELECTRIC,"5,295 miles",2023
i5 M60 Saloon,"64,500",Automatic,ELECTRIC,"6,495 miles",2024
iX xDrive50 M Sport,"61,000",Automatic,ELECTRIC,"16,425 miles",2024
i5 eDrive40 M Sport Saloon,"41,800",Automatic,ELECTRIC,"13,954 miles",2024
i5 eDrive40 M Sport Pro Saloon,"48,500",Automatic,ELECTRIC,"6,542 miles",2024
iX2 xDrive30 M Sport,"36,500",Automatic,ELECTRIC,"9,454 miles",2024
iX2 xDrive30 M Sport,"38,400",Automatic,ELECTRIC,"3,251 miles",2024
iX2 xDrive30 M Sport,"38,400",Automatic,ELECTRIC,"3,021 miles",2024
iX1 eDrive20 M Sport,"42,800",Automatic,ELECTRIC,"6,587 miles",2024
i5 eDrive40 M Sport Pro Touring,"56,795",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"39,995",Automatic,ELECTRIC,"9,206 miles",2024
iX xDrive40 M Sport,"48,990",Automatic,ELECTRIC,"10,366 miles",2024
i5 M60 Saloon,"73,902",Automatic,ELECTRIC,"4,487 miles",2024
iX1 xDrive30 M Sport,"33,999",Automatic,ELECTRIC,"3,060 miles",2023
i5 M60 Saloon,"56,500",Automatic,ELECTRIC,"13,491 miles",2024
i4 eDrive35 Sport,"40,995",Automatic,ELECTRIC,,2024
iX xDrive50 M Sport,"69,500",Automatic,ELECTRIC,"7,015 miles",2024
i5 M60 Saloon,"64,892",Automatic,ELECTRIC,"2,749 miles",2024
iX2 xDrive30 M Sport,"37,995",Automatic,ELECTRIC,"11,535 miles",2024
i5 eDrive40 M Sport Pro Saloon,"48,998",Automatic,ELECTRIC,"12,003 miles",2024
iX1 eDrive20 M Sport,"31,990",Automatic,ELECTRIC,"11,360 miles",2024
iX1 xDrive30 M Sport,"33,000",Automatic,ELECTRIC,"4,332 miles",2023
i5 eDrive40 M Sport Saloon,"57,995",Automatic,ELECTRIC,,2024
iX1 xDrive30 M Sport,"33,318",Automatic,ELECTRIC,"6,117 miles",2023
iX2 xDrive30 M Sport,"35,816",Automatic,ELECTRIC,"2,710 miles",2024
iX1 eDrive20 M Sport,"34,768",Automatic,ELECTRIC,"1,747 miles",2024
iX2 xDrive30 M Sport,"38,464",Automatic,ELECTRIC,"6,398 miles",2024
i5 eDrive40 M Sport Pro Saloon,"49,890",Automatic,ELECTRIC,"1,462 miles",2024
i4 eDrive35 M Sport,"38,500",Automatic,ELECTRIC,"6,912 miles",2024
i4 eDrive35 Sport,"38,500",Automatic,ELECTRIC,"3,712 miles",2024
i4 eDrive35 Sport,"35,940",Automatic,ELECTRIC,"1,616 miles",2024
i5 eDrive40 M Sport Pro Touring,"56,000",Automatic,ELECTRIC,"9,000 miles",2024
iX1 xDrive30 M Sport,"45,499",Automatic,ELECTRIC,,2024
i5 M60 Saloon,"61,999",Automatic,ELECTRIC,"9,591 miles",2024
i4 eDrive35 Sport,"35,000",Automatic,ELECTRIC,"5,121 miles",2024
iX xDrive40 M Sport,"47,995",Automatic,ELECTRIC,"5,000 miles",2024
iX2 xDrive30 M Sport,"34,816",Automatic,ELECTRIC,"2,500 miles",2024
i5 eDrive40 M Sport Touring,"56,999",Automatic,ELECTRIC,,2024
iX3 M Sport Pro,"46,299",Automatic,ELECTRIC,,2024
iX1 xDrive30 M Sport,"44,499",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Pro Saloon,"45,950",Automatic,ELECTRIC,"4,590 miles",2023
iX2 xDrive30 M Sport,"43,990",Automatic,ELECTRIC,"3,578 miles",2024
i7 eDrive50 M Sport,"74,990",Automatic,ELECTRIC,,2024
iX3 M Sport,"43,990",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"47,950",Automatic,ELECTRIC,"3,864 miles",2024
iX2 xDrive30 M Sport,"38,256",Automatic,ELECTRIC,"9,165 miles",2024
i4 eDrive35 M Sport,"38,990",Automatic,ELECTRIC,"5,000 miles",2024
i4 eDrive35 Sport,"33,485",Automatic,ELECTRIC,"5,000 miles",2024
i5 eDrive40 M Sport Pro Saloon,"55,000",Automatic,ELECTRIC,"7,500 miles",2024
i4 eDrive40 M Sport,"41,995",Automatic,ELECTRIC,"7,873 miles",2023
iX1 xDrive30 M Sport,"32,499",Automatic,ELECTRIC,"4,535 miles",2023
iX xDrive50 M Sport,"79,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Saloon,"37,995",Automatic,ELECTRIC,"15,822 miles",2023
iX1 xDrive30 xLine,"31,316",Automatic,ELECTRIC,"5,158 miles",2023
iX1 eDrive20 M Sport,"31,999",Automatic,ELECTRIC,"2,428 miles",2023
i7 xDrive60 M Sport,"75,000",Automatic,ELECTRIC,"12,536 miles",2023
i4 M50,"65,000",Automatic,ELECTRIC,"4,895 miles",2024
iX1 xDrive30 M Sport,"41,000",Automatic,ELECTRIC,"11,000 miles",2024
i5 M60 Saloon,"60,999",Automatic,ELECTRIC,"10,656 miles",2024
iX xDrive50 M Sport,"65,000",Automatic,ELECTRIC,"12,884 miles",2023
i5 eDrive40 M Sport Touring,"55,490",Automatic,ELECTRIC,"4,763 miles",2024
i5 eDrive40 M Sport Pro Touring,"57,341",Automatic,ELECTRIC,"5,275 miles",2024
iX1 xDrive30 M Sport,"32,752",Automatic,ELECTRIC,"4,949 miles",2023
iX xDrive40 M Sport,"55,500",Automatic,ELECTRIC,"3,500 miles",2024
iX2 xDrive30 M Sport,"40,000",Automatic,ELECTRIC,"10,983 miles",2024
i7 eDrive50 M Sport,"74,000",Automatic,ELECTRIC,"11,507 miles",2024
i5 eDrive40 M Sport Saloon,"49,500",Automatic,ELECTRIC,"7,222 miles",2024
iX1 eDrive20 M Sport,"35,500",Automatic,ELECTRIC,"5,793 miles",2024
i5 eDrive40 M Sport Pro Touring,"58,750",Automatic,ELECTRIC,"7,900 miles",2024
iX2 xDrive30 M Sport,"38,816",Automatic,ELECTRIC,"3,874 miles",2024
iX1 eDrive20 M Sport,"35,000",Automatic,ELECTRIC,,2024
iX xDrive40 M Sport,"47,242",Automatic,ELECTRIC,"12,887 miles",2024
iX xDrive50 M Sport,"72,950",Automatic,ELECTRIC,"4,123 miles",2024
i4 M50,"51,995",Automatic,ELECTRIC,"7,000 miles",2024
iX3 M Sport,"39,890",Automatic,ELECTRIC,"4,927 miles",2024
i5 eDrive40 M Sport Pro Saloon,"49,990",Automatic,ELECTRIC,"6,177 miles",2024
iX1 eDrive20 M Sport,"34,990",Automatic,ELECTRIC,"2,503 miles",2024
i4 eDrive35 Sport,"37,000",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"41,500",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"42,000",Automatic,ELECTRIC,"9,879 miles",2024
i4 eDrive35 Sport,"38,500",Automatic,ELECTRIC,"7,245 miles",2024
i4 eDrive35 Sport,"37,312",Automatic,ELECTRIC,"6,000 miles",2024
iX xDrive40 M Sport,"62,995",Automatic,ELECTRIC,"9,253 miles",2024
i4 eDrive35 Sport,"35,000",Automatic,ELECTRIC,,2024
iX xDrive50 M Sport,"75,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Pro Touring,"55,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Pro Touring,"54,195",Automatic,ELECTRIC,"9,811 miles",2024
i5 eDrive40 M Sport Touring,"55,992",Automatic,ELECTRIC,"6,000 miles",2024
i5 eDrive40 M Sport Pro Touring,"63,000",Automatic,ELECTRIC,,2024
i5 eDrive40 M Sport Pro Touring,"54,900",Automatic,ELECTRIC,"6,977 miles",2024
iX xDrive40 M Sport,"54,000",Automatic,ELECTRIC,"4,616 miles",2024
i4 eDrive35 Sport,"34,000",Automatic,ELECTRIC,,2024
i4 eDrive35 M Sport,"36,000",Automatic,ELECTRIC,,2024
iX1 eDrive20 M Sport,"34,500",Automatic,ELECTRIC,,2024
iX1 eDrive20 M Sport,"33,500",Automatic,ELECTRIC,,2024
i3 94Ah,"10,500",Automatic,ELECTRIC,"38,324 miles",2017
i4 eDrive40 M Sport,"44,670",Automatic,ELECTRIC,"5,421 miles",2024
iX2 xDrive30 M Sport,"41,400",Automatic,ELECTRIC,"4,384 miles",2024
i4 eDrive35 Sport,"34,902",Automatic,ELECTRIC,"6,208 miles",2024
i5 eDrive40 M Sport Touring,"55,992",Automatic,ELECTRIC,"14,307 miles",2024
i5 eDrive40 M Sport Pro Saloon,"47,992",Automatic,ELECTRIC,"9,979 miles",2024
iX xDrive40 M Sport,"54,000",Automatic,ELECTRIC,"12,989 miles",2024
i5 eDrive40 M Sport Pro Touring,"52,800",Automatic,ELECTRIC,"4,408 miles",2024
iX xDrive40 M Sport,"55,995",Automatic,ELECTRIC,"5,000 miles",2024
i4 eDrive40 M Sport,"51,500",Automatic,ELECTRIC,"10,502 miles",2024
i5 eDrive40 M Sport Pro Saloon,"53,000",Automatic,ELECTRIC,,2024
iX xDrive40 M Sport,"48,000",Automatic,ELECTRIC,"7,656 miles",2024
i4 M50,"60,000",Automatic,ELECTRIC,"10,251 miles",2024
i7 eDrive50 M Sport,"74,995",Automatic,ELECTRIC,"3,262 miles",2024
iX xDrive40 M Sport,"53,880",Automatic,ELECTRIC,"10,500 miles",2024
iX2 xDrive30 M Sport,"40,500",Automatic,ELECTRIC,"3,000 miles",2024
i5 eDrive40 M Sport Pro Saloon,"43,500",Automatic,ELECTRIC,,2024
iX1 eDrive20 M Sport,"43,500",Automatic,ELECTRIC,"3,737 miles",2024
iX1 eDrive20 M Sport,"37,000",Automatic,ELECTRIC,"5,681 miles",2024
i5 eDrive40 M Sport Pro Touring,"55,816",Automatic,ELECTRIC,"4,000 miles",2024
i5 eDrive40 M Sport Pro Touring,"58,888",Automatic,ELECTRIC,,2024
iX2 xDrive30 M Sport,"34,995",Automatic,ELECTRIC,"12,235 miles",2024
iX1 eDrive20 M Sport,"31,244",Automatic,ELECTRIC,"2,327 miles",2024
iX2 xDrive30 M Sport,"36,950",Automatic,ELECTRIC,"11,002 miles",2024
iX2 xDrive30 M Sport,"39,450",Automatic,ELECTRIC,"4,966 miles",2024
